Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-12 00:00:00+07:00,937.6799927,937.6799927,937.6799927,937.6799927,0,0,0
2020-02-13 00:00:00+07:00,938.2399902,938.2399902,938.2399902,938.2399902,0,0,0
2020-02-14 00:00:00+07:00,937.4500122,937.4500122,937.4500122,937.4500122,0,0,0
2020-02-18 00:00:00+07:00,927.9299927,927.9299927,927.9299927,927.9299927,0,0,0
2020-02-19 00:00:00+07:00,928.7600098,928.7600098,928.7600098,928.7600098,0,0,0
2020-02-20 00:00:00+07:00,938.1300049,938.1300049,938.1300049,938.1300049,0,0,0
2020-02-21 00:00:00+07:00,933.0900269,933.0900269,933.0900269,933.0900269,0,0,0
2020-02-24 00:00:00+07:00,903.3400269,903.3400269,903.3400269,903.3400269,0,0,0
2020-02-25 00:00:00+07:00,909.6699829,909.6699829,909.6699829,909.6699829,0,0,0
2020-02-26 00:00:00+07:00,895.9699707,895.9699707,895.9699707,895.9699707,0,0,0
2020-02-27 00:00:00+07:00,898.4400024,898.4400024,898.4400024,898.4400024,0,0,0
2020-02-28 00:00:00+07:00,882.1900024,882.1900024,882.1900024,882.1900024,0,0,0
2020-03-02 00:00:00+07:00,884.4299927,884.4299927,884.4299927,884.4299927,0,0,0
2020-03-04 00:00:00+07:00,889.3699951,889.3699951,889.3699951,889.3699951,0,0,0
2020-03-05 00:00:00+07:00,893.3099976,893.3099976,893.3099976,893.3099976,0,0,0
2020-03-06 00:00:00+07:00,891.4400024,891.4400024,891.4400024,891.4400024,0,0,0
2020-03-09 00:00:00+07:00,835.4899902,835.4899902,835.4899902,835.4899902,0,0,0
2020-03-10 00:00:00+07:00,837.5,837.5,837.5,837.5,0,0,0
2020-03-11 00:00:00+07:00,811.3499756,811.3499756,811.3499756,811.3499756,0,0,0
2020-03-12 00:00:00+07:00,769.25,769.25,769.25,769.25,0,0,0
2020-03-13 00:00:00+07:00,761.7800293,761.7800293,761.7800293,761.7800293,0,0,0
2020-03-16 00:00:00+07:00,747.8599854,747.8599854,747.8599854,747.8599854,0,0,0
2020-03-17 00:00:00+07:00,745.7800293,745.7800293,745.7800293,745.7800293,0,0,0
2020-03-18 00:00:00+07:00,747.6599731,747.6599731,747.6599731,747.6599731,0,0,0
2020-03-19 00:00:00+07:00,725.9400024,725.9400024,725.9400024,725.9400024,0,0,0
2020-03-20 00:00:00+07:00,709.7299805,709.7299805,709.7299805,709.7299805,0,0,0
2020-03-23 00:00:00+07:00,666.5900269,666.5900269,666.5900269,666.5900269,0,0,0
2020-03-24 00:00:00+07:00,659.210022,659.210022,659.210022,659.210022,0,0,0
2020-03-25 00:00:00+07:00,690.25,690.25,690.25,690.25,0,0,0
2020-03-26 00:00:00+07:00,694.210022,694.210022,694.210022,694.210022,0,0,0
2020-03-27 00:00:00+07:00,696.0599976,696.0599976,696.0599976,696.0599976,0,0,0
2020-03-30 00:00:00+07:00,662.2600098,662.2600098,662.2600098,662.2600098,0,0,0
2020-03-31 00:00:00+07:00,662.5300293,662.5300293,662.5300293,662.5300293,0,0,0
2020-04-01 00:00:00+07:00,680.2299805,680.2299805,680.2299805,680.2299805,0,0,0
2020-04-06 00:00:00+07:00,736.75,736.75,736.75,736.75,0,0,0
2020-04-07 00:00:00+07:00,746.6900024,746.6900024,746.6900024,746.6900024,0,0,0
2020-04-08 00:00:00+07:00,748.0200195,748.0200195,748.0200195,748.0200195,0,0,0
2020-04-09 00:00:00+07:00,760.3300171,760.3300171,760.3300171,760.3300171,0,0,0
2020-04-13 00:00:00+07:00,765.789978,765.789978,765.789978,765.789978,0,0,0
2020-04-14 00:00:00+07:00,767.4099731,767.4099731,767.4099731,767.4099731,0,0,0
2020-04-15 00:00:00+07:00,777.2199707,777.2199707,777.2199707,777.2199707,0,0,0
2020-04-16 00:00:00+07:00,780.7000122,780.7000122,780.7000122,780.7000122,0,0,0
2020-04-17 00:00:00+07:00,789.5999756,789.5999756,789.5999756,789.5999756,0,0,0
2020-04-20 00:00:00+07:00,794.9699707,794.9699707,794.9699707,794.9699707,0,0,0
2020-04-21 00:00:00+07:00,766.8400269,766.8400269,766.8400269,766.8400269,0,0,0
2020-04-22 00:00:00+07:00,768.9199829,768.9199829,768.9199829,768.9199829,0,0,0
2020-04-23 00:00:00+07:00,773.9099731,773.9099731,773.9099731,773.9099731,0,0,0
2020-04-24 00:00:00+07:00,776.6599731,776.6599731,776.6599731,776.6599731,0,0,0
2020-04-27 00:00:00+07:00,770.7700195,770.7700195,770.7700195,770.7700195,0,0,0
2020-04-28 00:00:00+07:00,767.210022,767.210022,767.210022,767.210022,0,0,0
2020-04-29 00:00:00+07:00,769.1099854,769.1099854,769.1099854,769.1099854,0,0,0
2020-05-04 00:00:00+07:00,762.4699707,762.4699707,762.4699707,762.4699707,0,0,0
2020-05-05 00:00:00+07:00,764.1599731,764.1599731,764.1599731,764.1599731,0,0,0
2020-05-06 00:00:00+07:00,782.5900269,782.5900269,782.5900269,782.5900269,0,0,0
2020-05-07 00:00:00+07:00,796.539978,796.539978,796.539978,796.539978,0,0,0
2020-05-08 00:00:00+07:00,813.7299805,813.7299805,813.7299805,813.7299805,0,0,0
2020-05-11 00:00:00+07:00,828.3300171,828.3300171,828.3300171,828.3300171,0,0,0
2020-05-12 00:00:00+07:00,835.3200073,835.3200073,835.3200073,835.3200073,0,0,0
2020-05-13 00:00:00+07:00,834.210022,834.210022,834.210022,834.210022,0,0,0
2020-05-14 00:00:00+07:00,832.4000244,832.4000244,832.4000244,832.4000244,0,0,0
2020-05-15 00:00:00+07:00,827.0300293,827.0300293,827.0300293,827.0300293,0,0,0
2020-05-19 00:00:00+07:00,845.9199829,845.9199829,845.9199829,845.9199829,0,0,0
2020-05-21 00:00:00+07:00,862.7299805,862.7299805,862.7299805,862.7299805,0,0,0
2020-05-22 00:00:00+07:00,852.7399902,852.7399902,852.7399902,852.7399902,0,0,0
2020-05-26 00:00:00+07:00,869.1300049,869.1300049,869.1300049,869.1300049,0,0,0
2020-05-27 00:00:00+07:00,857.4799805,857.4799805,857.4799805,857.4799805,0,0,0
2020-05-28 00:00:00+07:00,861.3900146,861.3900146,861.3900146,861.3900146,0,0,0
2020-05-29 00:00:00+07:00,864.4699707,864.4699707,864.4699707,864.4699707,0,0,0
2020-06-01 00:00:00+07:00,878.6699829,878.6699829,878.6699829,878.6699829,0,0,0
2020-06-02 00:00:00+07:00,874.7999878,874.7999878,874.7999878,874.7999878,0,0,0
2020-06-03 00:00:00+07:00,881.1699829,881.1699829,881.1699829,881.1699829,0,0,0
2020-06-04 00:00:00+07:00,883.9000244,883.9000244,883.9000244,883.9000244,0,0,0
2020-06-05 00:00:00+07:00,886.2199707,886.2199707,886.2199707,886.2199707,0,0,0
2020-06-08 00:00:00+07:00,899.9199829,899.9199829,899.9199829,899.9199829,0,0,0
2020-06-09 00:00:00+07:00,899.4299927,899.4299927,899.4299927,899.4299927,0,0,0
2020-06-10 00:00:00+07:00,900,900,900,900,0,0,0
2020-06-11 00:00:00+07:00,867.3699951,867.3699951,867.3699951,867.3699951,0,0,0
2020-06-12 00:00:00+07:00,863.5200195,863.5200195,863.5200195,863.5200195,0,0,0
2020-06-15 00:00:00+07:00,832.4699707,832.4699707,832.4699707,832.4699707,0,0,0
2020-06-16 00:00:00+07:00,856.1300049,856.1300049,856.1300049,856.1300049,0,0,0
2020-06-17 00:00:00+07:00,854.4400024,854.4400024,854.4400024,854.4400024,0,0,0
2020-06-18 00:00:00+07:00,855.2700195,855.2700195,855.2700195,855.2700195,0,0,0
2020-06-19 00:00:00+07:00,868.5599976,868.5599976,868.5599976,868.5599976,0,0,0
2020-06-22 00:00:00+07:00,871.2800293,871.2800293,871.2800293,871.2800293,0,0,0
