Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-12-02 00:00:00-05:00,0.12864428758621216,0.131440713288982,0.12864428758621216,0.12864428758621216,100710400,0.0,0.0
1980-12-03 00:00:00-05:00,0.12724528887213607,0.12724528887213607,0.12584707140922546,0.12584707140922546,25177600,0.0,0.0
1980-12-04 00:00:00-05:00,0.1300424039363861,0.13144062114164606,0.1300424039363861,0.1300424039363861,22694400,0.0,0.0
1980-12-05 00:00:00-05:00,0.12584701586305416,0.12584701586305416,0.12305059283971786,0.12305059283971786,7590400,0.0,0.0
1980-12-08 00:00:00-05:00,0.11745773557630594,0.11745773557630594,0.11605880409479141,0.11605880409479141,5414400,0.0,0.0
1980-12-09 00:00:00-05:00,0.11605886905609734,0.11605886905609734,0.11326244473457336,0.11326244473457336,5824000,0.0,0.0
1980-12-10 00:00:00-05:00,0.11046597886942032,0.11046597886942032,0.10627134889364243,0.10627134889364243,5875200,0.0,0.0
1980-12-11 00:00:00-05:00,0.1034742504151759,0.1034742504151759,0.10067782551050186,0.10067782551050186,5440000,0.0,0.0
1980-12-12 00:00:00-05:00,0.10487238317728043,0.1062713145993696,0.10487238317728043,0.10487238317728043,8153600,0.0,0.0
1980-12-15 00:00:00-05:00,0.10906776040792467,0.11046596668961961,0.10906776040792467,0.10906776040792465,6643200,0.0,0.0
1980-12-16 00:00:00-05:00,0.10906777243356137,0.10906777243356137,0.10627134889364243,0.10627134889364243,6630400,0.0,0.0
1980-12-17 00:00:00-05:00,0.10487241756930314,0.10487241756930314,0.10207599401473999,0.10207599401473999,4672000,0.0,0.0
1980-12-18 00:00:00-05:00,0.10487238317728043,0.10766952058402064,0.10487238317728043,0.10487238317728043,11251200,0.0,0.0
1980-12-19 00:00:00-05:00,0.10906776040792467,0.11046596668961961,0.10906776040792467,0.10906776040792465,10035200,0.0,0.0
1980-12-22 00:00:00-05:00,0.10906776040792467,0.11186418363951445,0.10906776040792467,0.10906776040792465,1856000,0.0,0.0
