Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-05-25 00:00:00-04:00,3.70452509563286,4.233086165734667,3.69533251575044,4.228489875793457,395343000,0.0,0.0
2006-05-26 00:00:00-04:00,4.256067754519576,4.296513884175669,4.054754523381216,4.13013219833374,103044000,0.0,0.0
2006-05-30 00:00:00-04:00,4.13380951465211,4.134728685143412,3.938930905724431,4.044643402099609,49898000,0.0,0.0
2006-05-31 00:00:00-04:00,4.076815595617674,4.169658368152044,4.076815595617674,4.1310505867004395,30002000,0.0,0.0
2006-06-01 00:00:00-04:00,4.130132195150844,4.421530266506366,4.127374245483548,4.367295265197754,62344000,0.0,0.0
2006-06-02 00:00:00-04:00,4.4583005220956915,4.476685249345151,4.301110950698537,4.319495677947998,37253000,0.0,0.0
2006-06-05 00:00:00-04:00,4.325013567992656,4.52724611959536,4.32041727401834,4.5180535316467285,37188000,0.0,0.0
2006-06-06 00:00:00-04:00,4.59434919207542,4.654099682614501,4.393955475212516,4.439917087554932,49045000,0.0,0.0
2006-06-07 00:00:00-04:00,4.442673618025669,4.449108250462731,4.297434145408452,4.3755693435668945,25013000,0.0,0.0
2006-06-08 00:00:00-04:00,4.37557000733824,4.386600494384766,4.182530128289405,4.386600494384766,34439000,0.0,0.0
2006-06-09 00:00:00-04:00,4.485878012527878,4.485878012527878,4.382923448125397,4.392115592956543,13372000,0.0,0.0
2006-06-12 00:00:00-04:00,4.4123396845936,4.435320268876439,4.256069256841622,4.31581974029541,14546000,0.0,0.0
2006-06-13 00:00:00-04:00,4.246876741497544,4.352589271888398,4.164145672416175,4.182530403137207,16716000,0.0,0.0
2006-06-14 00:00:00-04:00,4.127375235449185,4.177933567096525,4.085090316461747,4.147598743438721,15971000,0.0,0.0
2006-06-15 00:00:00-04:00,4.173335767374074,4.239520853104423,4.148516415015987,4.223893642425537,16500000,0.0,0.0
2006-06-16 00:00:00-04:00,4.18252901275239,4.228490605112827,4.136566982065542,4.1384053230285645,12280000,0.0,0.0
2006-06-19 00:00:00-04:00,4.177933566082028,4.177933566082028,4.053836321152146,4.075898170471191,11509000,0.0,0.0
2006-06-20 00:00:00-04:00,4.112668158030553,4.1365683517693395,3.9959251400207805,4.046483039855957,23792000,0.0,0.0
2006-06-21 00:00:00-04:00,4.046481921391448,4.217459913447392,4.044643580327837,4.164144515991211,18063000,0.0,0.0
2006-06-22 00:00:00-04:00,4.265262800783844,4.315821154759767,4.217462398354741,4.283647537231445,13038000,0.0,0.0
