Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-09-18 00:00:00+00:00,3.488152981,8.438536644,3.261756897,6.897256851,6061110198,0,0
2020-09-19 00:00:00+00:00,6.945577145,7.443274975,5.321794987,5.72446394,2447471305,0,0
2020-09-20 00:00:00+00:00,5.720514774,6.050325871,4.720210075,5.244194984,1554143599,0,0
2020-09-21 00:00:00+00:00,5.244194984,5.62215519,4.160743237,4.266078949,1329464490,0,0
2020-09-22 00:00:00+00:00,4.275013924,4.55409193,3.75503993,3.905138016,816282684,0,0
2020-09-23 00:00:00+00:00,3.917943954,4.7076478,3.91656208,4.653264999,964205457,0,0
2020-09-24 00:00:00+00:00,4.448575974,5.24979496,4.44857502,5.137266159,1168427377,0,0
2020-09-25 00:00:00+00:00,5.160446167,5.528678894,4.848576069,5.012951851,882242519,0,0
2020-09-26 00:00:00+00:00,5.011349201,5.225045204,4.737246037,4.805881023,463707078,0,0
2020-09-27 00:00:00+00:00,4.802268982,5.442522049,4.728703976,4.780899048,444099192,0,0
2020-09-28 00:00:00+00:00,4.781429768,4.937264919,4.164315224,4.187979221,435788116,0,0
2020-09-29 00:00:00+00:00,4.187973976,4.417395115,4.118353844,4.417379856,356399047,0,0
2020-09-30 00:00:00+00:00,4.448182106,4.448671818,3.921892881,4.013014793,375777187,0,0
2020-10-01 00:00:00+00:00,4.014051914,4.506503105,3.974045992,4.259864807,701098958,0,0
2020-10-02 00:00:00+00:00,4.261799812,4.292221069,3.665554047,3.78589797,646428104,0,0
2020-10-03 00:00:00+00:00,3.783603907,4.124611855,3.74928689,3.791614056,359042995,0,0
2020-10-04 00:00:00+00:00,3.797646999,3.816087961,3.616776943,3.668925047,413697306,0,0
2020-10-05 00:00:00+00:00,3.668925047,3.716207981,3.341255903,3.41920495,497456257,0,0
2020-10-06 00:00:00+00:00,3.416883945,3.416883945,2.721012115,2.834240913,681166626,0,0
2020-10-07 00:00:00+00:00,2.842322111,2.988667011,2.462867975,2.800064087,664950267,0,0
2020-10-08 00:00:00+00:00,2.797326088,3.417099953,2.582607985,3.27030611,717724262,0,0
2020-10-09 00:00:00+00:00,3.285660028,3.555273056,2.995399952,3.097367048,672751181,0,0
2020-10-10 00:00:00+00:00,3.081811905,3.632204056,3.054928064,3.331526995,562610977,0,0
2020-10-11 00:00:00+00:00,3.331238985,3.442174911,3.250742912,3.387239933,411091368,0,0
2020-10-12 00:00:00+00:00,3.379020929,3.429043055,3.203084946,3.260261059,558369285,0,0
2020-10-13 00:00:00+00:00,3.261672974,3.622659922,3.235384941,3.497266054,383311535,0,0
2020-10-14 00:00:00+00:00,3.500179052,3.582452059,2.648806095,3.082022905,516845493,0,0
2020-10-15 00:00:00+00:00,3.077348948,3.077409983,2.866539955,2.906949043,439092200,0,0
2020-10-16 00:00:00+00:00,2.908382893,3.163355112,2.80555892,3.034976959,578856190,0,0
2020-10-17 00:00:00+00:00,3.037373066,3.085675001,2.960527897,3.000683069,274343380,0,0
